Competency Code,ID,Name,Type,Family,Definition,Division,IsActive
"TECH-MEDI-002","cmhrr6ioy03d1atz09al6gxso","Branding","TECHNICAL","Media","Ability to assess, position and maintain the OA's brand among internal stakeholders as well as outside the organization. It is an ability to establish a significant and differentiated presence for OA and position OA as a world class organization. It is the ability to plan and execute successful and impactful sponsorship programs with clear and defined goals.","Corporate Support","true"
"TECH-MEDI-003","cmhrr6iop03bkatz0r09z58gc","Business Communication","TECHNICAL","Media","Ability to communicate effectively for OA's business purpose to internal and external stakeholders through media such as print, Internet, radio, television, word-of-mouth, alternative media, etc. by using skills such as editorial, copywriting, business writing, translations and public speaking. It also includes the skill of drafting and reviewing the press releases in line with internal guidelines.","Corporate Support","true"
"TECH-MEDI-004","cmhrr6io0037latz0wxv9g7h5","Campaign Management","TECHNICAL","Media","Ability to plan and execute campaigns leading to benefits internally or externally for OA. It includes identification of key messages, communication vehicles, stakeholders, branding and collateral management. Clearly and completely define the Target-Audience and develop campaign’s content appropriate for the Target-Audience.","Corporate Support","true"
"TECH-MEDI-005","cmhrr6inr036catz0zyjnzbxx","Corporate Communication Strategy","TECHNICAL","Media","Plan, develop and manage an integrated and effective corporate communications strategy for OA. Communicate a cohesive, credible and positive image of OA and its services to internal and external stakeholders such as employees, media, channel partners and the general public. Ability to maintain adequate preparation time for scheduled events/deadlines and develop schedules and timetables with clear, specific milestones and deadlines in collaboration with OA's different stakeholders. Ability to identify critical tasks and priorities systematically, monitor and adjust priorities and/or eliminate tasks on an on-going basis, as well as evaluating results.","Corporate Support","true"
"TECH-MEDI-006","cmhrr6ip603eaatz0q3ga2kit","Crisis Communication Management","TECHNICAL","Media","The ability to develop and implement a Crises Management Plan that holds the lists of key contact information, reminders of what should be done in a crisis, and forms to be used to document the crisis response. Ability to manage the perceptions arising out of the occurrence of unpredictable events that impact an organization's performance and its reputation among internal and external stakeholders.","Corporate Support","true"
"TECH-MEDI-007","cmhrr6ipe03fnatz0a355z1i9","Digital Media Management","TECHNICAL","Media","Ability to populate OA’s websites and Social Media platforms with up-to-date and engaging content in coordination with different internal and external stakeholders.  Ability to optimize search engine and maximize traffic to websites and Social Media Platforms. Ability to carry out an ongoing review of OA’s websites and Social Media Platforms making recommendations to improve accessibility and navigation.  Ability to facilitate online conversations with customers and respond to queries, and report online reviews and feedback from customers.  Ability to develop an optimal posting schedule, considering web traffic and customer engagement levels. Ability to use MS office suite of products in day to day work situations and also awareness of design software such as Adobe Photoshop. It also includes the ability to use Web publishing and graphic design for use in Corporate Communication material.","Corporate Support","true"
"TECH-MEDI-008","cmhrr6ioh03adatz0v2dhbeu7","External Communication","TECHNICAL","Media","Ability to plan, develop, and execute external communications, leveraging diverse media (e.g., print, radio, television, sponsorships and events), to facilitate and enable communication between OA and its external stakeholders such as customers & partners, while ensuring optimal returns on investment. It also includes building relationships with various media agencies and vehicles to ensure timely coverage of OA's developments.","Corporate Support","true"
"TECH-MEDI-009","cmhrr6io90396atz08i29k8yh","Internal Communication","TECHNICAL","Media","Ability to plan, develop, and execute internal communications by leveraging diverse media, to facilitate and enable communication between the company's internal stakeholders, primarily its employees. Ensure organizational initiatives and projects are successfully communicated to employees. Storyboard or translate ideas / organizational initiatives to the creative team of art directors / designers / design agencies.","Corporate Support","true"
"TECH-OPER-001","cmhrr6itm045eatz0lxvmdphl","Airfield Operations and Safety","TECHNICAL","Operations","Understanding of the ICAO Standards and recommendations (An 14, Doc 9137, Doc 9157, Doc 9859 etc.), national Regulations (CAR 139), airfield operations, layout and plan, inspection processes, different stakeholders and their roles and responsibilities and applicable regulations. It includes the knowledge of HSE policies,  processes and procedures as per the applicable HSE standards, safety requirements and regulations governing the safety of the airport as well as the reporting mechanism for any discrepancy/ hazard/ FODs.","Operations","true"
"TECH-OPER-002","cmhrr6ism03z4atz0pbs0u90g","Airport Operations Process Understanding","TECHNICAL","Operations","It is the knowledge of various airport operations processes covering terminal, ground handling, baggage handling, airfield operations, maintenance, HSE, AFS, airport systems and airline processes like flight planning, landing, dispatch, operations control etc. It includes understanding the operations in an integrated manner and an understanding of the interdependencies between different departments. It also includes an awareness of internal and external stakeholders involved in different processes.","Operations","true"
